n_agents,shape,conclusion,steps
5,cycle,1.0,660
5,cycle,1.0,933
5,cycle,1.0,262
5,cycle,1.0,903
5,cycle,1.0,639
5,cycle,1.0,270
5,cycle,1.0,549
5,cycle,0.0,145
5,cycle,1.0,909
5,cycle,1.0,81
5,cycle,1.0,473
5,cycle,0.0,86
5,cycle,1.0,296
5,cycle,1.0,527
5,cycle,1.0,109
5,cycle,1.0,558
5,cycle,0.0,83
5,cycle,1.0,412
5,cycle,1.0,155
5,cycle,0.0,54
5,cycle,1.0,204
5,cycle,1.0,1136
5,cycle,1.0,645
5,cycle,1.0,525
5,cycle,1.0,569
5,cycle,1.0,1038
5,cycle,1.0,252
5,cycle,0.0,274
5,cycle,0.0,21
5,cycle,1.0,1019
5,cycle,1.0,294
5,cycle,0.0,242
5,cycle,1.0,353
5,cycle,1.0,503
5,cycle,1.0,288
5,cycle,1.0,574
5,cycle,0.0,73
5,cycle,1.0,356
5,cycle,1.0,462
5,cycle,0.0,636
5,cycle,1.0,332
5,cycle,1.0,354
5,cycle,1.0,344
5,cycle,0.0,66
5,cycle,1.0,397
5,cycle,0.0,1
5,cycle,1.0,154
5,cycle,1.0,535
5,cycle,1.0,855
5,cycle,1.0,1827
5,cycle,1.0,493
5,cycle,1.0,319
5,cycle,0.0,15
5,cycle,0.0,207
5,cycle,1.0,1486
5,cycle,1.0,108
5,cycle,0.0,56
5,cycle,1.0,528
5,cycle,1.0,229
5,cycle,1.0,303
5,cycle,0.0,164
5,cycle,1.0,686
5,cycle,1.0,1465
5,cycle,1.0,680
5,cycle,1.0,565
5,cycle,1.0,1508
5,cycle,1.0,466
5,cycle,1.0,126
5,cycle,1.0,253
5,cycle,1.0,181
5,cycle,1.0,271
5,cycle,1.0,811
5,cycle,1.0,511
5,cycle,1.0,56
5,cycle,1.0,320
5,cycle,1.0,1023
5,cycle,0.0,1
5,cycle,1.0,395
5,cycle,0.0,58
5,cycle,1.0,705
5,cycle,1.0,378
5,cycle,1.0,424
5,cycle,1.0,650
5,cycle,1.0,168
5,cycle,0.0,304
5,cycle,1.0,1140
5,cycle,0.0,28
5,cycle,1.0,416
5,cycle,0.0,22
5,cycle,1.0,608
5,cycle,1.0,380
5,cycle,1.0,621
5,cycle,1.0,398
5,cycle,1.0,442
5,cycle,0.0,223
5,cycle,0.0,17
5,cycle,1.0,353
5,cycle,1.0,221
5,cycle,1.0,353
5,cycle,1.0,321
5,cycle,1.0,886
5,cycle,1.0,150
5,cycle,1.0,518
5,cycle,1.0,239
5,cycle,1.0,559
5,cycle,1.0,898
5,cycle,1.0,501
5,cycle,1.0,629
5,cycle,1.0,521
5,cycle,0.0,1
5,cycle,0.0,1
5,cycle,1.0,361
5,cycle,1.0,143
5,cycle,1.0,664
5,cycle,1.0,847
5,cycle,1.0,1058
5,cycle,1.0,507
5,cycle,0.0,1
5,cycle,1.0,540
5,cycle,1.0,868
5,cycle,1.0,114
5,cycle,0.0,54
5,cycle,1.0,129
5,cycle,0.0,123
5,cycle,1.0,574
5,cycle,1.0,408
5,cycle,1.0,179
5,cycle,1.0,993
5,cycle,1.0,265
5,cycle,1.0,444
5,cycle,1.0,1398
5,cycle,0.0,4
5,cycle,1.0,328
5,cycle,1.0,828
5,cycle,1.0,129
5,cycle,1.0,573
5,cycle,1.0,370
5,cycle,1.0,209
5,cycle,1.0,220
5,cycle,1.0,561
5,cycle,1.0,759
5,cycle,1.0,427
5,cycle,1.0,1031
5,cycle,1.0,337
5,cycle,0.0,324
5,cycle,1.0,424
5,cycle,1.0,641
5,cycle,0.0,28
5,cycle,1.0,516
5,cycle,0.0,233
5,cycle,1.0,469
5,cycle,1.0,565
5,cycle,1.0,674
5,cycle,1.0,488
5,cycle,1.0,569
5,cycle,1.0,484
5,cycle,1.0,460
5,cycle,1.0,1098
5,cycle,1.0,686
5,cycle,1.0,648
5,cycle,1.0,134
5,cycle,0.0,31
5,cycle,1.0,465
5,cycle,1.0,686
5,cycle,1.0,289
5,cycle,1.0,412
5,cycle,1.0,263
5,cycle,1.0,888
5,cycle,1.0,842
5,cycle,0.0,93
5,cycle,1.0,1124
5,cycle,1.0,286
5,cycle,1.0,544
5,cycle,1.0,2352
5,cycle,1.0,472
5,cycle,1.0,770
5,cycle,1.0,163
5,cycle,0.0,543
5,cycle,1.0,439
5,cycle,0.0,33
5,cycle,1.0,542
5,cycle,0.0,1
5,cycle,1.0,705
5,cycle,1.0,896
5,cycle,0.0,48
5,cycle,0.0,80
5,cycle,1.0,249
5,cycle,1.0,130
5,cycle,1.0,429
5,cycle,1.0,225
5,cycle,1.0,363
5,cycle,1.0,414
5,cycle,1.0,383
5,cycle,1.0,579
5,cycle,1.0,411
5,cycle,0.0,5
5,cycle,1.0,778
5,cycle,1.0,853
5,cycle,1.0,415
5,cycle,0.0,21
5,cycle,1.0,795
5,cycle,1.0,1220
5,cycle,1.0,603
5,cycle,1.0,206
5,cycle,1.0,132
5,cycle,1.0,1064
5,cycle,1.0,84
5,cycle,1.0,233
5,cycle,1.0,1227
5,cycle,1.0,252
5,cycle,1.0,721
5,cycle,1.0,344
5,cycle,1.0,358
5,cycle,1.0,892
5,cycle,1.0,640
5,cycle,0.0,18
5,cycle,1.0,317
5,cycle,0.0,9
5,cycle,1.0,433
5,cycle,1.0,1368
5,cycle,1.0,305
5,cycle,1.0,348
5,cycle,1.0,149
5,cycle,1.0,268
5,cycle,1.0,362
5,cycle,1.0,204
5,cycle,1.0,289
5,cycle,1.0,132
5,cycle,0.0,8
5,cycle,1.0,668
5,cycle,1.0,540
5,cycle,1.0,921
5,cycle,1.0,690
5,cycle,1.0,1266
5,cycle,1.0,200
5,cycle,1.0,1146
5,cycle,1.0,722
5,cycle,0.0,310
5,cycle,0.0,64
5,cycle,1.0,206
5,cycle,1.0,479
5,cycle,1.0,277
5,cycle,1.0,175
5,cycle,1.0,139
5,cycle,1.0,232
5,cycle,1.0,106
5,cycle,1.0,2772
5,cycle,1.0,570
5,cycle,1.0,655
5,cycle,1.0,404
5,cycle,1.0,289
5,cycle,1.0,493
5,cycle,1.0,973
5,cycle,1.0,472
5,cycle,1.0,662
5,cycle,1.0,379
5,cycle,1.0,465
5,cycle,1.0,445
5,cycle,1.0,556
5,cycle,1.0,197
5,cycle,1.0,156
5,cycle,1.0,227
5,cycle,1.0,916
5,cycle,1.0,1224
5,cycle,1.0,862
5,cycle,0.0,13
5,cycle,1.0,517
5,cycle,1.0,378
5,cycle,1.0,215
5,cycle,1.0,484
5,cycle,0.0,1
5,cycle,1.0,200
5,cycle,0.0,1
5,cycle,1.0,129
5,cycle,1.0,309
5,cycle,0.0,25
5,cycle,1.0,422
5,cycle,1.0,1110
5,cycle,1.0,183
5,cycle,1.0,467
5,cycle,0.0,23
5,cycle,1.0,248
5,cycle,1.0,268
5,cycle,1.0,460
5,cycle,1.0,586
5,cycle,1.0,649
5,cycle,1.0,317
5,cycle,1.0,552
5,cycle,1.0,705
5,cycle,1.0,645
5,cycle,1.0,1339
5,cycle,1.0,501
5,cycle,0.0,67
5,cycle,0.0,1
5,cycle,1.0,222
5,cycle,1.0,90
5,cycle,1.0,272
5,cycle,1.0,358
5,cycle,1.0,1016
5,cycle,1.0,219
5,cycle,1.0,225
5,cycle,1.0,272
5,cycle,1.0,362
5,cycle,1.0,614
5,cycle,1.0,157
5,cycle,1.0,799
5,cycle,1.0,313
5,cycle,1.0,171
5,cycle,1.0,280
5,cycle,1.0,1015
5,cycle,1.0,583
5,cycle,0.0,251
5,cycle,1.0,962
5,cycle,1.0,720
5,cycle,1.0,412
5,cycle,1.0,557
5,cycle,0.0,49
5,cycle,1.0,577
5,cycle,1.0,467
5,cycle,1.0,486
5,cycle,1.0,499
5,cycle,0.0,1
5,cycle,1.0,216
5,cycle,1.0,1039
5,cycle,1.0,240
5,cycle,0.0,1
5,cycle,1.0,534
5,cycle,1.0,309
5,cycle,0.0,14
5,cycle,1.0,675
5,cycle,0.0,1
5,cycle,1.0,558
5,cycle,0.0,1
5,cycle,1.0,246
5,cycle,1.0,763
5,cycle,1.0,869
5,cycle,1.0,365
5,cycle,0.0,72
5,cycle,1.0,835
5,cycle,1.0,255
5,cycle,1.0,129
5,cycle,0.0,1
5,cycle,1.0,722
5,cycle,1.0,174
5,cycle,1.0,262
5,cycle,1.0,294
5,cycle,1.0,628
5,cycle,1.0,824
5,cycle,1.0,952
5,cycle,1.0,610
5,cycle,1.0,1317
5,cycle,1.0,440
5,cycle,1.0,631
5,cycle,1.0,172
5,cycle,1.0,895
5,cycle,1.0,930
5,cycle,1.0,765
5,cycle,1.0,507
5,cycle,1.0,422
5,cycle,1.0,456
5,cycle,1.0,371
5,cycle,1.0,383
5,cycle,0.0,69
5,cycle,1.0,339
5,cycle,1.0,858
5,cycle,1.0,127
5,cycle,1.0,255
5,cycle,1.0,260
5,cycle,1.0,658
5,cycle,1.0,909
5,cycle,1.0,203
5,cycle,1.0,251
5,cycle,1.0,574
5,cycle,1.0,388
5,cycle,1.0,1133
5,cycle,1.0,624
5,cycle,1.0,132
5,cycle,1.0,339
5,cycle,0.0,66
5,cycle,0.0,77
5,cycle,1.0,254
5,cycle,1.0,201
5,cycle,1.0,441
5,cycle,1.0,265
5,cycle,1.0,867
5,cycle,1.0,726
5,cycle,1.0,598
5,cycle,1.0,360
5,cycle,1.0,675
5,cycle,0.0,79
5,cycle,1.0,150
5,cycle,0.0,33
5,cycle,1.0,451
5,cycle,1.0,1014
5,cycle,1.0,269
5,cycle,1.0,733
5,cycle,1.0,215
5,cycle,1.0,136
5,cycle,1.0,441
5,cycle,0.0,370
5,cycle,0.0,71
5,cycle,1.0,734
5,cycle,1.0,277
5,cycle,1.0,1082
5,cycle,1.0,472
5,cycle,1.0,867
5,cycle,1.0,812
5,cycle,1.0,123
5,cycle,0.0,55
5,cycle,1.0,633
5,cycle,1.0,328
5,cycle,1.0,610
5,cycle,1.0,443
5,cycle,0.0,10
5,cycle,1.0,323
5,cycle,1.0,1532
5,cycle,1.0,299
5,cycle,1.0,630
5,wheel,1.0,306
5,wheel,0.0,27
5,wheel,1.0,196
5,wheel,1.0,527
5,wheel,0.0,1
5,wheel,1.0,209
5,wheel,1.0,483
5,wheel,0.0,44
5,wheel,0.0,1
5,wheel,1.0,492
5,wheel,1.0,186
5,wheel,1.0,213
5,wheel,1.0,121
5,wheel,1.0,261
5,wheel,1.0,192
5,wheel,1.0,185
5,wheel,1.0,391
5,wheel,0.0,24
5,wheel,0.0,294
5,wheel,1.0,440
5,wheel,1.0,195
5,wheel,1.0,254
5,wheel,1.0,378
5,wheel,1.0,231
5,wheel,1.0,366
5,wheel,0.0,100
5,wheel,1.0,259
5,wheel,1.0,98
5,wheel,1.0,329
5,wheel,0.0,15
5,wheel,1.0,224
5,wheel,1.0,319
5,wheel,1.0,169
5,wheel,1.0,569
5,wheel,1.0,375
5,wheel,1.0,282
5,wheel,1.0,215
5,wheel,0.0,127
5,wheel,1.0,414
5,wheel,1.0,102
5,wheel,1.0,381
5,wheel,1.0,53
5,wheel,1.0,517
5,wheel,1.0,227
5,wheel,1.0,391
5,wheel,1.0,210
5,wheel,0.0,45
5,wheel,1.0,297
5,wheel,1.0,270
5,wheel,0.0,2
5,wheel,1.0,152
5,wheel,1.0,207
