randomized,unique_id,n_agents,uncertainty,n_experiments,p_rewiring,average_degree,degree_gini_coefficient,approx_average_clustering_coefficient,degree_entropy,share_of_correct_agents_at_convergence,convergence_step
True,503b3e51a4584c90bde3004a0485bc2a,100,0.0012709870280380206,15,0.07858381216725097,4.85,0.7751958762886598,0.21098371099101176,2.1132419215988745,0.82,500
True,60a6cefd89974cc29bd08cb030861637,100,0.0024306610531391187,9,0.09401143719759564,4.85,0.7590721649484535,0.2015373730195044,2.1355557070791673,0.69,500
True,eae97b48ff7249e480e291db3fa4a1a8,100,0.0018863863484684584,11,0.4824367873078852,4.85,0.4945360824742268,0.07985114130083372,2.3569095658737957,0.72,500
True,66b5ca55db0f450b924a4de5a2e81a37,100,0.0024530368237066515,1,0.23223948858466031,4.85,0.6518969072164948,0.13404322637147703,2.2540890048987063,0.54,500
True,6f591736811149c0b34de567dc57eb35,100,0.0011234869343841568,6,0.48279964307388873,4.85,0.5030721649484536,0.07804674111821387,2.29582881904316,0.73,500
True,6a8c43953f104abe88fa1adee1a1e8de,100,0.002359557599056528,5,0.22126340251244314,4.85,0.6455463917525773,0.1292594796146383,2.215967445162615,0.35,500
True,e296a7a86f3241f5ae38de7d3784f845,100,0.001872637897712887,3,0.25213648577728065,4.85,0.6444742268041237,0.1465469096666677,2.25391804176238,0.87,500
True,fc139b6728f14a50b73aa3f3a8c81391,100,0.0014455820945658544,12,0.010023759464756199,4.85,0.8190721649484536,0.23679652955014205,1.9735131201131784,0.55,500
True,599a76fda9004816992a4b148f3379bd,100,0.002071427540337159,13,0.3776816659984601,4.85,0.5870309278350515,0.10363245925506734,2.3432988345024266,0.45,500
True,e91fb0d10f5a4cccb0f2204dbb31dfb8,100,0.0009619450131546723,8,0.010732121082596302,4.85,0.8168453608247422,0.23486985814010194,2.002584274288827,0.51,500
True,a4d4128d2ccc4426b242b30eaaf77dee,100,0.001906912022007525,3,0.46373278042429683,4.85,0.5294226804123712,0.0830343887515429,2.3677278731047138,0.45,500
True,b25293ce15954d37b8e3c7b9cb1c2347,100,0.0020361364215307587,6,0.2957026457386703,4.85,0.6419175257731959,0.1285969468502865,2.28303814630678,0.63,500
True,760cdcf179fc4d659092029b7f0da0eb,100,0.0019338990388616207,8,0.23113387633053467,4.85,0.693958762886598,0.1647284831499691,2.2447339328311093,0.53,500
True,0e5db648d03c4f2dbff2318bda609074,100,0.0013094985457119041,8,0.380923299995213,4.85,0.5696701030927835,0.10137510831607471,2.2860755425266897,0.52,500
True,589e423cf67b48559745a75c32b9d913,100,0.001995018181784164,1,0.43969997983072706,4.85,0.5462474226804124,0.08506093790118992,2.3650074456987804,0.53,500
True,b2ff2ca63d354184853402987092f469,100,0.0012352891496116313,3,0.2969159903109238,4.85,0.5861649484536082,0.11994773393591922,2.272294820876878,0.66,500
True,e3a699fef36149a2a0b5d02113d211d9,100,0.0014342958748737276,8,0.43537209907313174,4.85,0.5248041237113402,0.10040492288814899,2.310867658477462,0.65,500
True,df462e63cb57473e8dccf9451af6e8a8,100,0.0023310571006251147,8,0.35584314950504214,4.85,0.5898762886597938,0.0979598026062691,2.3273946064797495,0.77,500
True,456016c86e2f4ccfa8473d48bf4c408e,100,0.0018009672883266955,3,0.019943919185321235,4.85,0.815237113402062,0.234829719849226,1.9949146738093182,0.19,500
True,2281359b81134a8fa29dbcd27eee9f8d,100,0.0023343802645962404,10,0.029226384343522704,4.85,0.8035670103092784,0.21693693436071976,2.0438743551988487,0.22,500
True,fda0c45e6ccc4c6683b06ea41d03c1f5,100,0.0016695556369485333,10,0.4133714322784747,4.85,0.5215051546391752,0.09893323505012025,2.2631249436414214,0.46,500
True,3c3c7df05642410a9441845aa6f89ee3,100,0.0009412195887071328,8,0.022022324792452308,4.85,0.8053814432989691,0.22619119876916233,2.032592952862615,0.81,500
True,96aa7471f07f4c3ab20c7252c9accdcc,100,0.002039043912454478,11,0.2345915222507315,4.85,0.6778762886597938,0.1384001257702466,2.253318871670754,0.89,500
True,6992df614f90465e9535e9779478ee5b,100,0.001482970232335602,4,0.4317740036636256,4.85,0.5083505154639175,0.09199397192090279,2.3755156182779658,0.66,500
True,676a04fdda244e349e9d753a2abc5736,100,0.002096825373569899,8,0.47204466611540724,4.85,0.4922680412371134,0.08451608749710685,2.2990729424659206,0.71,500
True,76577f6b08674f6aa27882902d357d80,100,0.0021869119860759784,3,0.42684940404224253,4.85,0.5458350515463918,0.10435658380570276,2.2794102827417584,0.89,500
True,03b6560bd8f446eeb80b4ed08ae9ffda,100,0.001310321637339082,5,0.3047508337187079,4.85,0.654041237113402,0.13668081852118513,2.268224789391992,0.32,500
True,fe3f8ee9dfee4c1c99e306521f5e4758,100,0.0012108601740630418,4,0.4231892313011611,4.85,0.5576701030927835,0.09165931562540822,2.393648136923421,0.82,500
